"Level","Region/Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Subregion","Eastern Africa","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Asia","Estimated Homicide Count",26938,27238,27628,28013,28241,29433,27423,28226,28581,28252,29025,28183,28434,26542,26848,22821,19923,17892,16593,16411,15046,13536,12756,11983,11452,10499,9897,9217
"Subregion","Eastern Asia","Homicide Rate",1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.5,1.3,1.1,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6
"Subregion","Eastern Asia","Estimated Homicide Count: Male",15829,15832,16221,16350,17194,16989,16170,16644,16353,16179,16315,16218,16165,15308,15133,12947,10831,9921,8623,8640,7958,7281,6588,6330,6179,5288,5147,4757
"Subregion","Eastern Asia","Estimated Homicide Count: Female",11109,11406,11408,11664,11047,12444,11253,11582,12228,12072,12709,11965,12270,11234,11715,9873,9093,7971,7970,7771,7089,6255,6168,5652,5273,5211,4750,4460
"Subregion","Eastern Asia","Male Homicide Rate",2.2,2.2,2.2,2.2,2.3,2.3,2.1,2.2,2.1,2.1,2.1,2.1,2.1,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7,0.6,0.6,0.6
"Subregion","Eastern Asia","Female Homicide Rate",1.6,1.7,1.6,1.7,1.6,1.7,1.6,1.6,1.7,1.6,1.7,1.6,1.6,1.5,1.5,1.3,1.2,1,1,1,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6
"Subregion","Eastern Asia","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,1036,997,707,943,864,662,442,584,625,458,635,466,400
"Subregion","Eastern Asia","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,2546,2119,1975,1397,1195,1163,990,1074,1773,1702,1537,1437,1442
"Subregion","Eastern Asia","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,4409,3448,3138,2210,2529,2381,2461,1780,877,1042,739,846,818
"Subregion","Eastern Asia","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,3089,2320,2397,1785,1999,1766,1656,1384,1215,1044,966,969,842
"Subregion","Eastern Asia","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,1867,1947,1705,2288,2053,1986,1733,1766,1840,1932,1411,1429,1257
"Subregion","Eastern Asia","Male 0-14 Rate",,,,,,,,,,,,,,,,0.6,0.6,0.5,0.6,0.6,0.4,0.3,0.4,0.4,0.3,0.4,0.3,0.3
"Subregion","Eastern Asia","Male 15-29 Rate",,,,,,,,,,,,,,,,1.3,1.1,1,0.7,0.6,0.6,0.5,0.6,0.9,0.9,0.8,0.8,0.8
"Subregion","Eastern Asia","Male 30-44 Rate",,,,,,,,,,,,,,,,2.1,1.7,1.5,1.1,1.2,1.2,1.2,0.9,0.5,0.5,0.4,0.4,0.4
"Subregion","Eastern Asia","Male 45-59 Rate",,,,,,,,,,,,,,,,2.2,1.6,1.6,1.2,1.3,1.1,1,0.8,0.7,0.6,0.5,0.5,0.5
"Subregion","Eastern Asia","Male 60 or more Rate",,,,,,,,,,,,,,,,2,2,1.7,2.3,2,1.8,1.5,1.5,1.5,1.5,1.1,1.1,0.9
"Subregion","Eastern Asia","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,895,1071,726,1168,752,852,580,602,593,668,541,512,516
"Subregion","Eastern Asia","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,1527,1461,1365,1305,1162,951,735,826,1037,1006,804,680,743
"Subregion","Eastern Asia","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,1919,1834,1390,1697,1427,1287,1104,1270,984,574,786,618,585
"Subregion","Eastern Asia","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,2127,1475,1446,950,1468,980,1217,1011,950,833,809,783,729
"Subregion","Eastern Asia","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,3406,3253,3042,2850,2963,3019,2619,2459,2088,2193,2271,2157,1888
"Subregion","Eastern Asia","Female 0-14 Rate",,,,,,,,,,,,,,,,0.6,0.8,0.5,0.9,0.6,0.7,0.4,0.5,0.5,0.5,0.4,0.4,0.4
"Subregion","Eastern Asia","Female 15-29 Rate",,,,,,,,,,,,,,,,0.8,0.8,0.7,0.7,0.6,0.5,0.4,0.5,0.6,0.6,0.5,0.4,0.4
"Subregion","Eastern Asia","Female 30-44 Rate",,,,,,,,,,,,,,,,1,0.9,0.7,0.9,0.7,0.7,0.6,0.7,0.5,0.3,0.4,0.3,0.3
"Subregion","Eastern Asia","Female 45-59 Rate",,,,,,,,,,,,,,,,1.6,1.1,1,0.6,1,0.6,0.8,0.6,0.6,0.5,0.5,0.4,0.4
"Subregion","Eastern Asia","Female 60 or more Rate",,,,,,,,,,,,,,,,3.4,3.2,2.9,2.6,2.6,2.6,2.1,1.9,1.6,1.6,1.6,1.5,1.3
"Subregion","Eastern Asia","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,1002,738,846,619,480,383,403,145,288,360,229,203,211
"Subregion","Eastern Asia","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,11213,10236,8863,9176,8772,7929,6806,6771,8159,5987,6679,6072,5567
"Subregion","Eastern Asia","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,10012,8388,7742,6203,6627,6318,5936,5437,3197,4782,3300,3318,3189
"Subregion","Eastern Asia","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,593,561,441,596,533,416,391,403,339,323,292,305,249
"Subregion","Eastern Asia","Firearms Rate",,,,,,,,,,,,,,,,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0
"Subregion","Eastern Asia","Other Mechanism Rate",,,,,,,,,,,,,,,,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.3
"Subregion","Eastern Asia","Sharp Objects Rate",,,,,,,,,,,,,,,,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.3,0.2,0.2,0.2
"Subregion","Eastern Asia","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subregion","Eastern Europe","Estimated Homicide Count",26688,28700,41155,52658,56157,53731,47958,43175,41451,46040,49247,51343,51935,48991,45679,41359,34298,30369,28330,25589,25305,22979,20372,20110,20824,20907,19953,17450
"Subregion","Eastern Europe","Homicide Rate",8.6,9.2,13.2,17,18.1,17.4,15.5,14,13.5,15.1,16.2,17,17.2,16.3,15.3,13.9,11.6,10.3,9.6,8.7,8.6,7.8,6.9,6.8,7.1,7.1,6.8,6
"Subregion","Eastern Europe","Estimated Homicide Count: Male",19910,21595,31393,39896,42555,40668,35754,32083,30715,33844,36473,38041,38804,36400,34003,30681,25368,22633,21180,18860,18735,16934,14830,14783,15252,15253,14497,12622
"Subregion","Eastern Europe","Estimated Homicide Count: Female",6778,7105,9762,12761,13602,13063,12204,11092,10736,12196,12774,13302,13131,12591,11676,10678,8930,7736,7150,6729,6570,6045,5542,5327,5572,5654,5456,4828
"Subregion","Eastern Europe","Male Homicide Rate",13.6,14.7,21.3,27.1,28.9,27.7,24.4,22,21.1,23.4,25.4,26.6,27.3,25.7,24.1,21.9,18.2,16.3,15.2,13.6,13.5,12.2,10.7,10.7,11,11.1,10.5,9.2
"Subregion","Eastern Europe","Female Homicide Rate",4.2,4.4,6,7.8,8.3,8,7.5,6.9,6.7,7.6,8,8.3,8.3,8,7.4,6.8,5.7,4.9,4.6,4.3,4.2,3.9,3.6,3.4,3.6,3.6,3.5,3.1
"Subregion","Eastern Europe","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,768,777,593,592,547,761,476,503,557,422,458,372,363
"Subregion","Eastern Europe","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,5092,4136,3909,3325,3118,2435,2274,2127,2567,2478,2374,2164,1866
"Subregion","Eastern Europe","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,8815,7363,6050,5843,5472,5499,4726,3997,3985,4672,4366,4298,3634
"Subregion","Eastern Europe","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,10038,8004,7203,6814,5895,5702,5780,4994,4311,4376,4647,4432,3930
"Subregion","Eastern Europe","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,5968,5089,4878,4606,3829,4338,3677,3208,3363,3304,3408,3231,2828
"Subregion","Eastern Europe","Male 0-14 Rate",,,,,,,,,,,,,,,,3.3,3.4,2.6,2.6,2.4,3.4,2.1,2.2,2.4,1.8,1.9,1.6,1.5
"Subregion","Eastern Europe","Male 15-29 Rate",,,,,,,,,,,,,,,,14.1,11.5,11,9.5,9.1,7.3,7,6.7,8.3,8.4,8.3,7.6,6.5
"Subregion","Eastern Europe","Male 30-44 Rate",,,,,,,,,,,,,,,,28.2,23.7,19.5,18.9,17.7,17.7,15.1,12.6,12.4,14.3,13.1,13,11
"Subregion","Eastern Europe","Male 45-59 Rate",,,,,,,,,,,,,,,,33.9,26.7,23.9,22.5,19.4,18.8,19.2,16.8,14.7,15.2,16.3,15.6,13.8
"Subregion","Eastern Europe","Male 60 or more Rate",,,,,,,,,,,,,,,,30.3,25.6,24.3,22.6,18.5,20.7,17.1,14.6,14.9,14.3,14.4,13.6,12
"Subregion","Eastern Europe","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,487,412,312,356,252,444,346,389,296,259,333,301,233
"Subregion","Eastern Europe","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,1506,1335,1027,1029,1008,835,805,671,846,714,704,784,645
"Subregion","Eastern Europe","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,2490,2150,1973,1515,1582,1577,1289,1484,1122,1388,1350,1262,1115
"Subregion","Eastern Europe","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,2808,2330,2013,2083,1841,1388,1758,1411,1402,1592,1526,1503,1326
"Subregion","Eastern Europe","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,3387,2704,2411,2167,2046,2325,1848,1586,1661,1617,1742,1606,1510
"Subregion","Eastern Europe","Female 0-14 Rate",,,,,,,,,,,,,,,,2.2,1.9,1.5,1.7,1.2,2.1,1.6,1.8,1.3,1.2,1.5,1.3,1
"Subregion","Eastern Europe","Female 15-29 Rate",,,,,,,,,,,,,,,,4.3,3.8,3,3.1,3.1,2.6,2.6,2.2,2.9,2.5,2.6,2.9,2.4
"Subregion","Eastern Europe","Female 30-44 Rate",,,,,,,,,,,,,,,,7.8,6.8,6.2,4.8,5,5,4,4.6,3.4,4.2,4,3.8,3.3
"Subregion","Eastern Europe","Female 45-59 Rate",,,,,,,,,,,,,,,,8.3,6.8,5.8,6,5.3,4,5.1,4.1,4.2,4.8,4.7,4.7,4.1
"Subregion","Eastern Europe","Female 60 or more Rate",,,,,,,,,,,,,,,,9.8,7.8,6.9,6.2,5.8,6.5,5.1,4.3,4.4,4.2,4.4,4.1,3.8
"Subregion","Eastern Europe","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,3103,2586,2564,1996,1558,1531,1841,1508,1453,1373,1161,1081,1152
"Subregion","Eastern Europe","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,18859,16160,13590,12601,10427,10943,9429,8162,8060,9498,9376,8609,7759
"Subregion","Eastern Europe","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,12169,10086,9668,8264,8670,8174,8632,7204,7858,7758,7966,8182,6682
"Subregion","Eastern Europe","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,7227,5466,4547,5469,4934,4657,3077,3499,2739,2196,2405,2081,1857
"Subregion","Eastern Europe","Firearms Rate",,,,,,,,,,,,,,,,1,0.9,0.9,0.7,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4
"Subregion","Eastern Europe","Other Mechanism Rate",,,,,,,,,,,,,,,,6.3,5.4,4.6,4.3,3.5,3.7,3.2,2.8,2.7,3.2,3.2,2.9,2.7
"Subregion","Eastern Europe","Sharp Objects Rate",,,,,,,,,,,,,,,,4.1,3.4,3.3,2.8,2.9,2.8,2.9,2.5,2.7,2.6,2.7,2.8,2.3
"Subregion","Eastern Europe","Unknown Mechanism Rate",,,,,,,,,,,,,,,,2.4,1.8,1.5,1.9,1.7,1.6,1,1.2,0.9,0.7,0.8,0.7,0.6
"Subregion","Melanesia","Estimated Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimated Homicide Count: Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimated Homicide Count: Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Melanesia","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimated Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimated Homicide Count: Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimated Homicide Count: Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Micronesia","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimated Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimated Homicide Count: Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimated Homicide Count: Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Middle Africa","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimated Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimated Homicide Count: Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimated Homicide Count: Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Northern Africa","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
